Player,era,Primary Team,Pos,Secondary Team,Other Team
Henry Spearman,1935-45,Philadelphia Stars,IF,Homestead Grays,Baltimore Elite Giants
Webster McDonald,1922-40,Philadelphia Stars,P,Chicago American Giants,
Barney Brown,1931-48,Philadelphia Stars,P,Azules de Veracruz,New York Black Yankees
Pat Patterson,1934-47,Philadelphia Stars,IF,Newark Eagles,Pittsburgh Crawfords
Clarence Palm,1927-46,Philadelphia Stars,IF/C,St. Louis Stars,Detroit Stars
Bill Perkins,1928-48,Pittsburgh Crawfords,C,Birmingham Black Barons,
Chester Williams,1930-42,Pittsburgh Crawfords,IF,Homestead Grays,
Bert Hunter,1931-44,Pittsburgh Crawfords,P,Puebla,Rojas del Aguila de Veracruz
Luis Cabrera,1945-48,Puebla,P,,
Roberto Avila,1943-45,Puebla,IF,,
Conrado Perez,1944-45,Puebla,IF/OF,,
Carlos Galina,1940-44,Puebla,IF,,
Pedro Pages,1939-47,Puebla,IF/OF,Alijadores de Tampico,
Cocaina Garcia,1927-45,Puebla,P,Alijadores de Tampico,Cuban Stars West
Alberto Hernandez,1941-45,Puebla,OF,New York Cubans,
Aurelio Calvo,1904-05,Punzo,P,Azul,
Jacinto Roque,1940-44,Rojas del Aguila de Veracruz,OF,Puebla,
Salvador Rosado,1901-04,San Francisco,P,Fe,Almendares
Doc Dudley,1920-23,St. Louis Giants,OF,,
Roosevelt Davis,1924-45,St. Louis Stars,P,,
Sam Bennett,1907-25,St. Louis Stars,OF,,
Ted Trent,1927-39,St. Louis Stars,P,Chicago American Giants,
Logan Hensley,1922-39,St. Louis Stars,P,,
Willie Bobo,1923-30,St. Louis Stars,IF,,
Wesley Pryor,1907-14,St. Louis Stars,IF,Chicago American Giants,
John Williams,1926-30,St. Louis Stars,P,,
Branch Russell,1922-36,St. Louis Stars,IF/OF,,
Candy Jim Taylor,1907-42,St. Louis Stars,IF,Indianapolis ABCs,
Bill Gatewood,1906-27,St. Louis Stars,P,Chicago American Giants,
Dan Kennard,1913-25,St. Louis Stars,C,Indianapolis ABCs,
Cool Papa Bell,1922-46,St. Louis Stars,OF,Pittsburgh Crawfords,Homestead Grays
Lee Wade,1909-18,St. Louis Stars,P,Chicago American Giants,
Arthur Gillard,1909-14,St. Louis Stars,P,Chicago American Giants,
Joe Hewitt,1911-32,St. Louis Stars,IF,Detroit Stars,
Charlie Blackwell,1915-29,St. Louis Stars,OF,,
Mitchell Murray,1919-32,St. Louis Stars,C,,
Willie Wells,1924-48,St. Louis Stars,IF,Azules de Veracruz,Newark Eagles
Luther McDonald,1927-35,St. Louis Stars,P,Chicago American Giants,
Otto Ray,1920-24,St. Louis Stars,C,Kanas City  Monarchs,Chicago Giants
Mule Suttles,1923-44,St. Louis Stars,IF/OF,Newark Eagles,Birmingham Black Barons
Wilson Redus,1924-40,St. Louis Stars,OF,Chicago American Giants,
Dewey Creacy,1924-38,St. Louis Stars,IF,Philadelphia Stars,
Buddy Armour,1933-47,St. Louis-New Orleans-Harrisburg Stars,OF,Cleveland Buckeyes,
Marshall Riddle,1937-43,St. Louis-New Orleans-Harrisburg Stars,IF,Cleveland Buckeyes,
John Lyles,1932-43,St. Louis-New Orleans-Harrisburg Stars,IF,Cleveland Buckeyes,
Lefty Calhoun,1932-46,St. Louis-New Orleans-Harrisburg Stars,P,Philadelphia Stars,New York Black Yankees / Memphis Red Sox
Frank McAllister,1937-43,St.Louis-New Orleans-Harrisburg Stars,P,New York Black Yankees,
Leslie Green,1939-46,Sultanes de Monterrey,OF,St.Louis-New Orleans-Harrisburg Stars,
Lazaro Salazar,1930-45,Sultanes de Monterrey,IF/OF,,
Claro Duany,1944-47,Sultanes de Monterrey,OF,New York Cubans,
Heberto Blanco,1941-45,Sultanes de Monterrey,IF,New York Cubans,
Anastasio Santaella,1935-44,Sultanes de Monterrey,IF,Diablos Rojos del Mexico,New York Cubans
Lazaro Salazar,1930-45,Sultanes de Monterrey,P,,
Willie Jefferson,1937-46,Sultanes de Monterrey,P,Cleveland Buckeyes,Memphis Red Sox
Woody Arkeketa,1940-42,Union Laguna de Torreon,IF,,
